Text,Address,Street_Number,Street_Name,Street_Address,City,Zip_Code,State,Country
"Address: St. Mary's Church 74 Church Road, Reigate, RH2 6BA","74 Church Road, Reigate, RH2 6BA",74,Church Road,74 Church Road,Reigate,RH2 6BA,,
YORK MINSTER Open today - 09:00 until 17:30 01904 557200 YO1 7HH,YO1 7HH,,,,,YO1 7HH,,
"Smithfield Market, East Poultry Avenue, London EC1A 9LH","East Poultry Avenue, London EC1A 9LH",,East Poultry Avenue,East Poultry Avenue,London,EC1A 9LH,,
"113 Oxford Road, Reading, RG1 7UZ",,113,Oxford Road,Oxford Road,Reading,RG1 7UZ,,
York Minster Deangate York YO1 7HH,Deangate York YO1 7HH,Deangate,,Deangate,York,YO1 7HH,,
"Luxury Interiors Ltd Trading address: 77 Designer Lane, Edinburgh, EH3 5DL Registered Company Number: 06789012 VAT number 901234567 Registered in England and Wales Telephone: 0131 234 5678 Email: sales@luxuryinteriors.co.uk","77 Designer Lane, Edinburgh, EH3 5DL",77,Designer Lane,77 Designer Lane,Edinburgh,EH3 5DL,,
"Unit 4, The Courtyard, 707 Warwick Road, Solihull, B91 3DA, Tel: +44 121 711 7070","707 Warwick Road, Solihull, B91 3DA",707,Warwick Road,707 Warwick Road,Solihull,B91 3DA,West Midlands,
"Operations: Fir Plaza, 9 Elm Road, Uptown, Newcastle NE1 7HG Tel: 0191 234 5670 Email: operations@firplaza.net","9 Elm Road, Uptown, Newcastle NE1 7HG",9,Elm Road,9 Elm Road,Newcastle,NE1 7HG,,
45A Elmwood Avenue Belfast BT9 7EW,45A Elmwood Avenue Belfast BT9 7EW,45A,Elmwood Avenue,45A Elmwood Avenue,Belfast,BT9 7EW,,
Bristol Museum and Art Gallery Queens Rd Bristol BS8 1RL,Queens Rd Bristol BS8 1RL,Queens Rd,,Queens Rd,Bristol,BS8 1RL,,
"Greenwood Landscaping Services Ltd Trading address: 32 Elm Street, Manchester, M15 4JQ Registered Company Number: 04567891 VAT number 123456789 Registered in England and Wales Telephone: 0161 123 4567 Email: contact@greenwoodlandscaping.co.uk","32 Elm Street, Manchester, M15 4JQ",32,Elm Street,32 Elm Street,Manchester,M15 4JQ,,
"3 Hurst Street, Oxford, OX4 1EZ, United Kingdom",,3,Hurst Street,Hurst Street,Oxford,OX4 1EZ,,United Kingdom
RICHMOND PARK Open today - 08:30 until 19:00 020 8948 3209 TW10 5HS,TW10 5HS,,,,,TW10 5HS,,
"7 Queen's Road, Bristol, BS8 1QU, United Kingdom",,7,Queen's Road,Queen's Road,Bristol,BS8 1QU,,United Kingdom
"42 Kings Road, Chelsea, London, SW3 4UD",,42,Kings Road,42 Kings Road,London,SW3 4UD,Chelsea,
"8 Northumberland Avenue, London WC2N 5BY","Northumberland Avenue, London WC2N 5BY",8,Northumberland Avenue,8 Northumberland Avenue,London,WC2N 5BY,,
"5 Queen's Road, Belfast, BT1 3FF",,5,Queen's Road,Queen's Road,Belfast,BT1 3FF,,
"Baker's Delight, 10 Baker Street, London, W1U 3AX, UK","10 Baker Street, London, W1U 3AX",10,Baker Street,10 Baker Street,London,W1U 3AX,London,UK
"34 Market Street, Farnworth, Bolton, BL4 9AJ",,34,Market Street,34 Market Street,Bolton,BL4 9AJ,Farnworth,
"3M Centre, Cain Road, Bracknell, Berkshire RG12 8HT Registered No: 04176862","Cain Road, Bracknell, Berkshire RG12 8HT",,Cain Road,Cain Road,Bracknell,RG12 8HT,Berkshire,
BRISTOL ZOO Open today - 09:00 until 17:30 0117 974 7300 BS8 3HA,BS8 3HA,,,,,BS8 3HA,,
"15 Bramble Way, Lenton, Nottingham, NG7 2EG",,15,Bramble Way,15 Bramble Way,Nottingham,NG7 2EG,Lenton,
"78 Church Street, Brighton, BN1 1RL",,78,Church Street,Church Street,Brighton,BN1 1RL,,
OXFORD STREET Open today - 10:00 until 20:00 020 7495 9250 W1D 1BS,W1D 1BS,,,,,W1D 1BS,,
"Digital Hub, 35 Mill Lane, Cardiff, CF10 1FL, UK","35 Mill Lane, Cardiff, CF10 1FL",35,Mill Lane,35 Mill Lane,Cardiff,CF10 1FL,Cardiff,UK
"BBC Broadcasting House, Portland Place, London, W1A 1AA","Portland Place, London, W1A 1AA",,Portland Place,Portland Place,London,W1A 1AA,,
"447 Burton Road, Midway, Swadlincote, DE11 7NB",,447,Burton Road,Burton Road,Swadlincote,DE11 7NB,,
"7 Birch Villa, Church St, Liverpool, Merseyside, L1 3AY, UK","Church St, Liverpool, Merseyside, L1 3AY",,Church St,Church St,Liverpool,L1 3AY,Merseyside,UK
Oxford University Parks Rd Oxford OX1 3PU,Parks Rd Oxford OX1 3PU,Parks Rd,,Parks Rd,Oxford,OX1 3PU,,
"Flat 5, 12 High Street, Oxford, OX1 4BG",,,,,Oxford,OX1 4BG,Oxfordshire,
"6 George Street, Glasgow, G1 1RS, United Kingdom",,6,George Street,George Street,Glasgow,G1 1RS,,United Kingdom
"10 Downing Street, London, SW1A 2AA, United Kingdom",,10,Downing Street,Downing Street,London,SW1A 2AA,,United Kingdom
"Registered Office: 1st Floor, 2 Woodberry Grove, Finchley, London, N12 0DR","2 Woodberry Grove, Finchley, London, N12 0DR",2,Woodberry Grove,2 Woodberry Grove,London,N12 0DR,,
Greenwood Pharmacy 22 King Road Portsmouth PO1 3AX,22 King Road Portsmouth PO1 3AX,22,King Road,King Road,Portsmouth,PO1 3AX,,
"Building 3, Chiswick Park 566 Chiswick High Road London W4 5YA, Tel: +44 20 8996 9000",566 Chiswick High Road London W4 5YA,566,Chiswick High Road,566 Chiswick High Road,London,W4 5YA,Greater London,
"8 Pine House, Market St, York, North Yorkshire, YO1 8QT, UK","Market St, York, North Yorkshire, YO1 8QT",,Market St,Market St,York,YO1 8QT,North Yorkshire,UK
Main Office: 123 Baker Street W1U 6RS London GB Contact: 020 7224 3688 Fax: 020 7224 3699 Company Reg Number: 1234567 England VAT number: 987 6543 21,123 Baker Street W1U 6RS London GB,123,Baker Street,123 Baker Street,London,W1U 6RS,,GB
"Johnson & Brothers Ltd 12 High Street, Manchester, M1 1AB 0161 234 5678 contact@johnsonbros.co.uk","12 High Street, Manchester, M1 1AB",12,High Street,12 High Street,Manchester,M1 1AB,,
"SELLER means Blue Horizon Enterprises, Elm Drive, Basingstoke, Hampshire, RG21 3NN, company number 09123456","Elm Drive, Basingstoke, Hampshire, RG21 3NN",,Elm Drive,Elm Drive,Basingstoke,RG21 3NN,Hampshire,
"Health & Wellness Ltd, Registered in England, Company No 11223344, Registered at Suite 2, 22 Church Lane, York, YO1 7JG, VAT Registration No 789 0123 45","Suite 2, 22 Church Lane, York, YO1 7JG",22,Church Lane,"Suite 2, 22 Church Lane",York,YO1 7JG,,
"Redwood IT Services 9 Maple Drive, Cardiff, CF10 3AB 029 2066 1234 support@redwooditservices.co.uk","9 Maple Drive, Cardiff, CF10 3AB",9,Maple Drive,9 Maple Drive,Cardiff,CF10 3AB,,
"Victoria Road, Cambridge Cambridgeshire CB4 3BW",,,Victoria Road,Victoria Road,Cambridge,CB4 3BW,Cambridgeshire,
CAMBRIDGE CITY Open today - 09:00 until 17:30 01223 457000 CB2 3AD,CB2 3AD,,,,,CB2 3AD,,
WINDSOR CASTLE Open today - 09:30 until 17:15 01753 831118 SL4 1NJ,SL4 1NJ,,,,,SL4 1NJ,,
"23B High Street Ltd, Registered in England & Wales, Company No 87654321, Registered at 23B High Street, Guildford, GU1 3DY, VAT Registration No 123 4567 89","23B High Street, Guildford, GU1 3DY",23B,High Street,23B High Street,Guildford,GU1 3DY,,
"Smart Tech Ltd, Registered in Northern Ireland, Company No NI123456, Registered at 14 Innovation Park, Londonderry, BT48 7QT, VAT Registration No 012 3456 78","14 Innovation Park, Londonderry, BT48 7QT",14,Innovation Park,14 Innovation Park,Londonderry,BT48 7QT,,
"Tech Innovations Ltd Trading address: 12 Innovation Way, Cambridge, CB3 0FT Registered Company Number: 05678912 VAT number 789123456 Registered in England and Wales Telephone: 01223 456 789 Email: hello@techinnovations.co.uk","12 Innovation Way, Cambridge, CB3 0FT",12,Innovation Way,12 Innovation Way,Cambridge,CB3 0FT,,
"Studio 8, 33B High Street, BA1 5AN","33B High Street, BA1 5AN",33B,High Street,High Street,,BA1 5AN,,
"iMex Centre 575-599 Maxted Road Hemel Hempstead, Hertfordshire HP2 7DX Tel: +44 0 1442 849999 Email: info@mentorgroup co uk","575-599 Maxted Road Hemel Hempstead, Hertfordshire HP2 7DX",575-599,Maxted Road,575-599 Maxted Road,Hemel Hempstead,HP2 7DX,Hertfordshire,
"TechWorld Solutions Registered Office: Unit 2, Parkside Industrial Estate Leeds LS11 5TX",Unit 2 Parkside Industrial Estate Leeds LS11 5TX,2,Parkside Industrial Estate,Unit 2 Parkside Industrial Estate,Leeds,LS11 5TX,,
