Text,Address,Street_Number,Street_Name,Street_Address,City,Zip_Code,State,Country
"Rathausstraße 11-13, 20095 Hamburg, Deutschland", "", "11-13", "Rathausstraße", "11-13 Rathausstraße", "Hamburg", "20095", "Deutschland"
"Kubach & Klings Werbetechnik GmbH Mercedesstrasse 13 D–71139 Ehningen","Mercedesstrasse 13 D–71139 Ehningen","13","Mercedesstrasse","13 Mercedesstrasse","Ehningen","71139","","Germany"
"cantus Verkehrsgesellschaft mbH Königstor 1A 34117 Kassel Tel +49 561 766396-0 Fax +49 561 766396-69 E-Mail: info[at]cantus-bahn.de","Königstor 1A 34117 Kassel","1A","Königstor","1A Königstor","Kassel","34117","","Germany"
"Geschäftsführer: Andreas Luthardt, Rex Madrian Wagner-Régeny-Straße 12 12489 Berlin Tel.: 030 283991-0 Fax: 030 283991-15 E-Mail: info @ akzent-personal.de Internet: www.akzent-personal.de","Wagner-Régeny-Straße 12 12489 Berlin","12","Wagner-Régeny-Straße","12 Wagner-Régeny-Straße","Berlin","12489","","Germany"
"pörtner consulting digital business consulting & solutions Im Bruch 31 56414 Hundsangen Germany Telephone: 06435 / 5480251 Fax: 06435 / 5480257 E-Mail: info@freiberuflervermittlung.de Internet: https://freiberuflervermittlung.de Owner: Andreas Pörtner, MSc. New Media Management VAT ID: DE221963649","Im Bruch 31 56414 Hundsangen Germany","31","Im Bruch","31 Im Bruch","Hundsangen","56414","","Germany"
"aycan Digitalsysteme GmbH Innere Aumühlstrasse 5 97076 Würzburg . Germany","Innere Aumühlstraße 5 97076 Würzburg Germany","5","Innere Aumühlstraße","5 Innere Aumühlstraße","Würzburg","97076","","Germany"
"HOPE Cape Town Foundation a trust of the German AIDS Foundation Münsterstrasse 18 53111 Bonn Telephone : 0228 60 46 90 Fax: 0228 60 46 995 Email: info@hope-kapstadt.de","Münsterstrasse 18 53111 Bonn","18","Münsterstrasse","18 Münsterstrasse","Bonn","53111","","Germany"
"Organization office of the HOPE Gala Dresden Enderstrasse 94, House A 01277 Dresden Phone: 0351 259821 60 Fax: 0351 259821 69 E-Mail : info@hopegala.de","Enderstrasse 94, House A 01277 Dresden","94","Enderstrasse","94 Enderstrasse","Dresden","01277","","Germany"
"Binect GmbH Brunnenweg 17 64331 Weiterstadt","Brunnenweg 17 64331 Weiterstadt","17","Brunnenweg","17 Brunnenweg","Weiterstadt","64331","","Germany"
"Postal address: Antenne Bethel Quellenhofweg 25 33617 Bielefeld-Bethel Tel.: 0521 / 144- 55 66 Fax: 0521 / 144- 55 88 E-Mail: red@antenne-bethel.de","Quellenhofweg 25 33617 Bielefeld-Bethel","25","Quellenhofweg","25 Quellenhofweg","Bielefeld-Bethel","33617","","Germany"
"Sie finden uns jetzt in Kuhstraße 3 in 47918 Tönisvorst","Kuhstraße 3 47918 Tönisvorst","3","Kuhstraße","3 Kuhstraße","Tönisvorst","47918","","Germany"
"Adlerstraße 74, 40211 Düsseldorf, Bundesrepublik Deutschland","Adlerstraße 74, 40211 Düsseldorf","74","Adlerstraße","74 Adlerstraße","Düsseldorf","40211","","Germany"
"hostNET Media GmbH Osterdeich 107 28205 Bremen","Osterdeich 107 28205 Bremen","107","Osterdeich","107 Osterdeich","Bremen","28205","","Germany"
"Frank Heidrich wissensschule.de Am Haus Bey 12 41334 Nettetal","Am Haus Bey 12 41334 Nettetal","12","Am Haus Bey","12 Am Haus Bey","Nettetal","41334","","Germany"
"Bundesgeschäftsstelle Wilhelmine-Gemberg-Weg 6, Aufgang G 10179 Berlin Tel. +49 30 640 779 78 Fax +49 30 914 424 19 info@bdia.de","Wilhelmine-Gemberg-Weg 6, Aufgang G 10179 Berlin","6","Wilhelmine-Gemberg-Weg","6 Wilhelmine-Gemberg-Weg","Berlin","10179","","Germany"
"Matthias Mayer Moosbergstr. 88 64285 Darmstadt Email: kontakt@deutscheip.de","Moosbergstr. 88 64285 Darmstadt","88","Moosbergstr.","88 Moosbergstr.","Darmstadt","64285","","Germany"
"Mahdenstrasse 3 D-72768 Reutlingen","","3","Mahdenstrasse","3 Mahdenstrasse","Reutlingen","72768","","Germany"
"Herr Zbigniew Conrady Infuu Holders Sandsteinweg 8 12349 Berlin Deutschland info@infuu.de Umsatzsteuer-Identifikationsnummer: DE269724131","Sandsteinweg 8 12349 Berlin Deutschland","8","Sandsteinweg","8 Sandsteinweg","Berlin","12349","","Germany"
"Kontakt Tanztheater Markgröningen Maulbronner Weg 37 71706 Markgröningen Beratungszeiten","Maulbronner Weg 37 71706Markgröningen","37","Maulbronner Weg","37 Maulbronner Weg","Markgröningen","71706","","Germany"
"Tanztheater Ludwigsburg Wöhlerstraße 9-11 Eingang Liebigstraße gesperrt 71636 Ludwigsburg Beratungszeiten","Wöhlerstraße 9-11 71636Ludwigsburg","9-11","Wöhlerstraße","9-11 Wöhlerstraße","Ludwigsburg","71636","","Germany"
"Fanprojekt ERC Ingolstadt e.V. Obertorweg 9 85080 Gaimersheim","Obertorweg 9 85080 Gaimersheim","9","Obertorweg","9 Obertorweg","Gaimersheim","85080","","Germany"
"Winnerbatterien Ein E-Shop der SIGA Batteries GmbH Geschäftsführer: Chris Kiriazis, Johannes Papasis Casterfeldstr. 66-72 68199 Mannheim Deutschland Tel.:  +49 (0)621 490 77 30 Fax:  +49 (0)621 899 58 111 E-Mail: info(@)winnerbatterien(.)de Amtsgericht Mannheim USt-IdNr.: DE815694168 SteuerNr: 38188/24094","Casterfeldstr. 66-72 68199 Mannheim Deutschland","66-72","Casterfeldstr.","66-72 Casterfeldstr.","Mannheim","68199","","Germany"
"Bogenhausen GmbH Leopoldstrasse 250, 80807 München","Leopoldstrasse 250, 80807 München","250","Leopoldstrasse","250 Leopoldstrasse","München","80807","","Germany"
"Zentrum Digital GmbH Maximilianstrasse 35 80539 München","Maximilianstrasse 35 80539 München","35","Maximilianstrasse","35 Maximilianstrasse","München","80539","","Germany"
