Text,Address,Street_Number,Street_Name,Street_Address,City,Zip_Code,State,Country
"19 ST ANDREW ST, BULRINGTON, VT, 05401,, United States","19 ST ANDREW ST, VT, 05401, United States",19.0,ST ANDREW ST,19.0 ST ANDREW ST,BULRINGTON,05401,VT,United States
"2574 EAST 23RD STREE, CHATTANOOGA, TN 37404, United States","2574 EAST 23RD STREE, CHATTANOOGA, TN 37404, United States",2574.0,EAST 23RD STREE,2574.0 EAST 23RD STREE,CHATTANOOGA,37404,TN,United States
"5931 W ANGELA RD, MEMPHIS, TN 38120, United States","5931 W ANGELA RD, MEMPHIS, TN 38120, United States",5931.0,W ANGELA RD,5931.0 W ANGELA RD,MEMPHIS,38120,TN,United States
"3812 MYERS STREET, GREENEVILLE, TN 37743, United States","3812 MYERS STREET, GREENEVILLE, TN 37743, United States",3812.0,MYERS STREET,3812.0 MYERS STREET,GREENEVILLE,37743,TN,United States
"HWY 33 BY-PASS BOX, DYERSBURG, TN 38024, United States","HWY 33 BY-PASS BOX, DYERSBURG, TN 38024, United States",,HWY 33 BY-PASS,nan HWY 33 BY-PASS,DYERSBURG,38024,TN,United States
"423 TRENT STATE STRE, DOVER, DE 19001, United States","423 TRENT STATE STRE, DOVER, DE 19001, United States",423.0,TRENT STATE STRE,423.0 TRENT STATE STRE,DOVER,19001,DE,United States
"269 ABBOTT MT ROAD, CHATTANOOGA, TN 37405, United States","269 ABBOTT MT ROAD, CHATTANOOGA, TN 37405, United States",269.0,ABBOTT MT ROAD,269.0 ABBOTT MT ROAD,CHATTANOOGA,37405,TN,United States
"HIGHWAY 11-E, RUSSELLVILLE, TN 00000, United States","HIGHWAY 11-E, RUSSELLVILLE, TN 00000, United States",,HIGHWAY 11-E,nan HIGHWAY 11-E,RUSSELLVILLE,00000,TN,United States
"8725 HWY 62 N, MILLINGTON, TN 38053, United States","8725 HWY 62 N, MILLINGTON, TN 38053, United States",8725.0,HWY 62 N,8725.0 HWY 62 N,MILLINGTON,38053,TN,United States
"6081 SUMMER AVENUE, MEMPHIS, TN 38134, United States","6081 SUMMER AVENUE, MEMPHIS, TN 38134, United States",6081.0,SUMMER AVENUE,6081.0 SUMMER AVENUE,MEMPHIS,38134,TN,United States
"STE 363 8 REGENCY SQ, KNOXVILLE, TN 37915, United States","STE 363 8 REGENCY SQ, KNOXVILLE, TN 37915, United States",8.0,REGENCY SQ,8.0 REGENCY SQ,KNOXVILLE,37915,TN,United States
"NAT TRUST CENTER 1612 REDWOOD STREET, WILMINGTON, DE 19801, United States","NAT TRUST CENTER 1612 REDWOOD STREET, WILMINGTON, DE 19801, United States",1612.0,REDWOOD STREET,1612.0 REDWOOD STREET,WILMINGTON,19801,DE,United States
"PO BOX 631, GIDDINGS, TX 78942,United States","PO BOX 631, GIDDINGS, TX 78942,United States",,,,GIDDINGS,78942,TX,United States
